Year,M_Year_r1,M_Year_r2,M_Year_k1,M_Year_k2,M_Year_m1,M_Year_mh1,RAWLINGS1,AnnotationR1,TooltipR1,RAWLINGS2,AnnotationR2,TooltipR2,KUFFOUR1,AnnotationK1,TooltipK1,KUFFOUR2,AnnotationK2,TooltipK2,MILLS1,AnnotationM1,TooltipsM1,MAHAMA2,AnnotationM2,,YearBars,Style,Annotation,New,old
Jan-Year1,Jan-93,Jan-97,Jan-01,Jan-05,Jan-09,Jan-13,,,"NDC (Rawlings1): Jan-93 , null",0.173,,"NDC (Rawlings2): Jan-97 , 0.173 Ghc",0.6806,,"NDC (Kuffour1): Jan-01 , 0.6806 Ghc",0.89,,"NDC (Kuffour2): Jan-05 , 0.89 Ghc",1.2792,,"NDC (Mills1): Jan-09 , 1.2792 Ghc",1.8862,,"NDC (Mahama1): Jan-13 , 1.8862 Ghc",4,color: gray; opacity: 0.1,null,"['Jan-Year1',null,null,0.173,null,0.6806,null,0.89,null,1.2792,null,1.8862,null,4,'color: gray; opacity: 0.1',null],","[new Date(2000,1),null,null, 'NDC (Rawlings1): 1-1993 , null',0.173,null,0.6806,null,0.89,null,1.2792,null,1.8862,null,4],"
Feb-Year1,Feb-93,Feb-97,Feb-01,Feb-05,Feb-09,Feb-13,,,"NDC (Rawlings1): Feb-93 , null ",0.176,,"NDC (Rawlings2): Feb-97 , 0.176 Ghc",0.6834,,"NDC (Kuffour1): Feb-01 , 0.6834 Ghc",0.8908,,"NDC (Kuffour2): Feb-05 , 0.8908 Ghc",1.3439,,"NDC (Mills1): Feb-09 , 1.3439 Ghc",1.8941,,"NDC (Mahama1): Feb-13 , 1.8941 Ghc",4,color: gray; opacity: 0.1,null,"['Feb-Year1',null,null,0.176,null,0.6834,null,0.8908,null,1.3439,null,1.8941,null,4,'color: gray; opacity: 0.1',null],","[new Date(2000,2),null,null, 'NDC (Rawlings1): 2-1993 , null',0.176,null,0.6834,null,0.8908,null,1.3439,null,1.8941,null,4],"
Mar-Year1,Mar-93,Mar-97,Mar-01,Mar-05,Mar-09,Mar-13,,,"NDC (Rawlings1): Mar-93 , null ",0.1853,,"NDC (Rawlings2): Mar-97 , 0.1853 Ghc",0.6989,,"NDC (Kuffour1): Mar-01 , 0.6989 Ghc",0.8974,,"NDC (Kuffour2): Mar-05 , 0.8974 Ghc",1.382,,"NDC (Mills1): Mar-09 , 1.382 Ghc",1.9151,,"NDC (Mahama1): Mar-13 , 1.9151 Ghc",4,color: gray; opacity: 0.1,null,"['Mar-Year1',null,null,0.1853,null,0.6989,null,0.8974,null,1.382,null,1.9151,null,4,'color: gray; opacity: 0.1',null],","[new Date(2000,3),null,null, 'NDC (Rawlings1): 3-1993 , null',0.1853,null,0.6989,null,0.8974,null,1.382,null,1.9151,null,4],"
Apr-Year1,Apr-93,Apr-97,Apr-01,Apr-05,Apr-09,Apr-13,,,"NDC (Rawlings1): Apr-93 , null ",0.191,,"NDC (Rawlings2): Apr-97 , 0.191 Ghc",0.7085,,"NDC (Kuffour1): Apr-01 , 0.7085 Ghc",0.8924,,"NDC (Kuffour2): Apr-05 , 0.8924 Ghc",1.4104,,"NDC (Mills1): Apr-09 , 1.4104 Ghc",1.9338,,"NDC (Mahama1): Apr-13 , 1.9338 Ghc",4,color: gray; opacity: 0.1,null,"['Apr-Year1',null,null,0.191,null,0.7085,null,0.8924,null,1.4104,null,1.9338,null,4,'color: gray; opacity: 0.1',null],","[new Date(2000,4),null,null, 'NDC (Rawlings1): 4-1993 , null',0.191,null,0.7085,null,0.8924,null,1.4104,null,1.9338,null,4],"
May-Year1,May-93,May-97,May-01,May-05,May-09,May-13,,,"NDC (Rawlings1): May-93 , null ",0.1985,,"NDC (Rawlings2): May-97 , 0.1985 Ghc",0.7218,,"NDC (Kuffour1): May-01 , 0.7218 Ghc",0.8968,,"NDC (Kuffour2): May-05 , 0.8968 Ghc",1.4381,,"NDC (Mills1): May-09 , 1.4381 Ghc",1.9719,,"NDC (Mahama1): May-13 , 1.9719 Ghc",4,color: gray; opacity: 0.1,null,"['May-Year1',null,null,0.1985,null,0.7218,null,0.8968,null,1.4381,null,1.9719,null,4,'color: gray; opacity: 0.1',null],","[new Date(2000,5),null,null, 'NDC (Rawlings1): 5-1993 , null',0.1985,null,0.7218,null,0.8968,null,1.4381,null,1.9719,null,4],"
Jun-Year1,Jun-93,Jun-97,Jun-01,Jun-05,Jun-09,Jun-13,,,"NDC (Rawlings1): Jun-93 , null ",0.2058,,"NDC (Rawlings2): Jun-97 , 0.2058 Ghc",0.7117,,"NDC (Kuffour1): Jun-01 , 0.7117 Ghc",0.8967,,"NDC (Kuffour2): Jun-05 , 0.8967 Ghc",1.4696,,"NDC (Mills1): Jun-09 , 1.4696 Ghc",1.9937,,"NDC (Mahama1): Jun-13 , 1.9937 Ghc",4,color: gray; opacity: 0.1,null,"['Jun-Year1',null,null,0.2058,null,0.7117,null,0.8967,null,1.4696,null,1.9937,null,4,'color: gray; opacity: 0.1',null],","[new Date(2000,6),null,null, 'NDC (Rawlings1): 6-1993 , null',0.2058,null,0.7117,null,0.8967,null,1.4696,null,1.9937,null,4],"
Jul-Year1,Jul-93,Jul-97,Jul-01,Jul-05,Jul-09,Jul-13,,,"NDC (Rawlings1): Jul-93 , null ",0.2131,,"NDC (Rawlings2): Jul-97 , 0.2131 Ghc",0.708,,"NDC (Kuffour1): Jul-01 , 0.708 Ghc",0.8972,,"NDC (Kuffour2): Jul-05 , 0.8972 Ghc",1.4819,,"NDC (Mills1): Jul-09 , 1.4819 Ghc",2.0356,,"NDC (Mahama1): Jul-13 , 2.0356 Ghc",4,color: gray; opacity: 0.1,First Year,"['Jul-Year1',null,null,0.2131,null,0.708,null,0.8972,null,1.4819,null,2.0356,null,4,'color: gray; opacity: 0.1',First Year],","[new Date(2000,7),null,null, 'NDC (Rawlings1): 7-1993 , null',0.2131,null,0.708,null,0.8972,null,1.4819,null,2.0356,null,4],"
Aug-Year1,Aug-93,Aug-97,Aug-01,Aug-05,Aug-09,Aug-13,,,"NDC (Rawlings1): Aug-93 , null ",0.2165,,"NDC (Rawlings2): Aug-97 , 0.2165 Ghc",0.6934,,"NDC (Kuffour1): Aug-01 , 0.6934 Ghc",0.8966,,"NDC (Kuffour2): Aug-05 , 0.8966 Ghc",1.4613,,"NDC (Mills1): Aug-09 , 1.4613 Ghc",2.0958,,"NDC (Mahama1): Aug-13 , 2.0958 Ghc",4,color: gray; opacity: 0.1,null,"['Aug-Year1',null,null,0.2165,null,0.6934,null,0.8966,null,1.4613,null,2.0958,null,4,'color: gray; opacity: 0.1',null],","[new Date(2000,8),null,null, 'NDC (Rawlings1): 8-1993 , null',0.2165,null,0.6934,null,0.8966,null,1.4613,null,2.0958,null,4],"
Sep-Year1,Sep-93,Sep-97,Sep-01,Sep-05,Sep-09,Sep-13,,,"NDC (Rawlings1): Sep-93 , null ",0.2184,,"NDC (Rawlings2): Sep-97 , 0.2184 Ghc",0.7006,,"NDC (Kuffour1): Sep-01 , 0.7006 Ghc",0.8975,,"NDC (Kuffour2): Sep-05 , 0.8975 Ghc",1.4361,,"NDC (Mills1): Sep-09 , 1.4361 Ghc",2.1506,,"NDC (Mahama1): Sep-13 , 2.1506 Ghc",4,color: gray; opacity: 0.1,null,"['Sep-Year1',null,null,0.2184,null,0.7006,null,0.8975,null,1.4361,null,2.1506,null,4,'color: gray; opacity: 0.1',null],","[new Date(2000,9),null,null, 'NDC (Rawlings1): 9-1993 , null',0.2184,null,0.7006,null,0.8975,null,1.4361,null,2.1506,null,4],"
Oct-Year1,Oct-93,Oct-97,Oct-01,Oct-05,Oct-09,Oct-13,,,"NDC (Rawlings1): Oct-93 , null ",0.2208,,"NDC (Rawlings2): Oct-97 , 0.2208 Ghc",0.7077,,"NDC (Kuffour1): Oct-01 , 0.7077 Ghc",0.8988,,"NDC (Kuffour2): Oct-05 , 0.8988 Ghc",1.4281,,"NDC (Mills1): Oct-09 , 1.4281 Ghc",2.1733,,"NDC (Mahama1): Oct-13 , 2.1733 Ghc",4,color: gray; opacity: 0.1,null,"['Oct-Year1',null,null,0.2208,null,0.7077,null,0.8988,null,1.4281,null,2.1733,null,4,'color: gray; opacity: 0.1',null],","[new Date(2000,10),null,null, 'NDC (Rawlings1): 10-1993 , null',0.2208,null,0.7077,null,0.8988,null,1.4281,null,2.1733,null,4],"
Nov-Year1,Nov-93,Nov-97,Nov-01,Nov-05,Nov-09,Nov-13,,,"NDC (Rawlings1): Nov-93 , null ",0.2218,,"NDC (Rawlings2): Nov-97 , 0.2218 Ghc",0.6967,,"NDC (Kuffour1): Nov-01 , 0.6967 Ghc",0.9029,,"NDC (Kuffour2): Nov-05 , 0.9029 Ghc",1.415,,"NDC (Mills1): Nov-09 , 1.415 Ghc",2.2358,,"NDC (Mahama1): Nov-13 , 2.2358 Ghc",4,color: gray; opacity: 0.1,null,"['Nov-Year1',null,null,0.2218,null,0.6967,null,0.9029,null,1.415,null,2.2358,null,4,'color: gray; opacity: 0.1',null],","[new Date(2000,11),null,null, 'NDC (Rawlings1): 11-1993 , null',0.2218,null,0.6967,null,0.9029,null,1.415,null,2.2358,null,4],"
Dec-Year1,Dec-93,Dec-97,Dec-01,Dec-05,Dec-09,Dec-13,,,"NDC (Rawlings1): Dec-93 , null ",0.2227,,"NDC (Rawlings2): Dec-97 , 0.2227 Ghc",0.7005,,"NDC (Kuffour1): Dec-01 , 0.7005 Ghc",0.9016,,"NDC (Kuffour2): Dec-05 , 0.9016 Ghc",1.4168,,"NDC (Mills1): Dec-09 , 1.4168 Ghc",2.3116,,"NDC (Mahama1): Dec-13 , 2.3116 Ghc",4,color: gray; opacity: 0.1,null,"['Dec-Year1',null,null,0.2227,null,0.7005,null,0.9016,null,1.4168,null,2.3116,null,4,'color: gray; opacity: 0.1',null],","[new Date(2000,12),null,null, 'NDC (Rawlings1): 12-1993 , null',0.2227,null,0.7005,null,0.9016,null,1.4168,null,2.3116,null,4],"
Jan-Year2,Jan-94,Jan-98,Jan-02,Jan-06,Jan-10,Jan-14,,,"NDC (Rawlings1): Jan-94 , null ",0.2257,,"NDC (Rawlings2): Jan-98 , 0.2257 Ghc",0.7032,,"NDC (Kuffour1): Jan-02 , 0.7032 Ghc",0.8983,,"NDC (Kuffour2): Jan-06 , 0.8983 Ghc",1.41,,"NDC (Mills1): Jan-10 , 1.41 Ghc",2.3718,,"NDC (Mahama1): Jan-14 , 2.3718 Ghc",4,color: gray; opacity: 0.2,null,"['Jan-Year2',null,null,0.2257,null,0.7032,null,0.8983,null,1.41,null,2.3718,null,4,'color: gray; opacity: 0.2',null],","[new Date(2001,1),null,null, 'NDC (Rawlings1): 1-1994 , null',0.2257,null,0.7032,null,0.8983,null,1.41,null,2.3718,null,4],"
Feb-Year2,Feb-94,Feb-98,Feb-02,Feb-06,Feb-10,Feb-14,,,"NDC (Rawlings1): Feb-94 , null ",0.228,,"NDC (Rawlings2): Feb-98 , 0.228 Ghc",0.7107,,"NDC (Kuffour1): Feb-02 , 0.7107 Ghc",0.8975,,"NDC (Kuffour2): Feb-06 , 0.8975 Ghc",1.412,,"NDC (Mills1): Feb-10 , 1.412 Ghc",2.4699,,"NDC (Mahama1): Feb-14 , 2.4699 Ghc",4,color: gray; opacity: 0.2,null,"['Feb-Year2',null,null,0.228,null,0.7107,null,0.8975,null,1.412,null,2.4699,null,4,'color: gray; opacity: 0.2',null],","[new Date(2001,2),null,null, 'NDC (Rawlings1): 2-1994 , null',0.228,null,0.7107,null,0.8975,null,1.412,null,2.4699,null,4],"
Mar-Year2,Mar-94,Mar-98,Mar-02,Mar-06,Mar-10,Mar-14,0.0935,,"NDC (Rawlings1): Mar-94 , 0.0935 Ghc",0.229,,"NDC (Rawlings2): Mar-98 , 0.229 Ghc",0.7284,,"NDC (Kuffour1): Mar-02 , 0.7284 Ghc",0.8952,,"NDC (Kuffour2): Mar-06 , 0.8952 Ghc",1.3997,,"NDC (Mills1): Mar-10 , 1.3997 Ghc",2.5706,,"NDC (Mahama1): Mar-14 , 2.5706 Ghc",4,color: gray; opacity: 0.2,null,"['Mar-Year2',0.0935,null,0.229,null,0.7284,null,0.8952,null,1.3997,null,2.5706,null,4,'color: gray; opacity: 0.2',null],","[new Date(2001,3),0.0935,null, 'NDC (Rawlings1): 3-1994 , 0.0935',0.229,null,0.7284,null,0.8952,null,1.3997,null,2.5706,null,4],"
